Trajectories
100
,,1:11,,,1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,63.6147,428.516,864.658,14.8873,490.745,867.296
2,0,63.6161,428.498,864.642,14.8901,490.755,867.315
3,0,63.623,428.494,864.638,14.8825,490.739,867.308
4,0,63.6277,428.503,864.645,14.8927,490.744,867.293
5,0,63.6421,428.518,864.65,14.917,490.804,867.337
6,0,63.6664,428.525,864.643,14.9372,490.795,867.328
7,0,63.6729,428.56,864.657,14.9457,490.796,867.318
8,0,63.674,428.567,864.663,14.9682,490.852,867.335
9,0,63.6833,428.573,864.667,14.9924,490.878,867.353
10,0,63.6852,428.588,864.668,15.0008,490.898,867.347
11,0,63.6659,428.607,864.661,15.0012,490.945,867.378
12,0,63.6683,428.617,864.682,15.003,490.967,867.379
13,0,63.6689,428.637,864.678,15.0023,490.929,867.349
14,0,63.6685,428.62,864.683,15.0344,490.993,867.381
15,0,63.6765,428.649,864.705,15.0027,490.953,867.35
16,0,63.6811,428.646,864.69,15.0278,490.964,867.37
17,0,63.6891,428.628,864.687,15.0165,490.982,867.39
18,0,63.6943,428.62,864.685,15.0101,490.928,867.35
19,0,63.6862,428.607,864.67,15.0409,490.971,867.378
20,0,63.6925,428.626,864.683,15.0231,490.951,867.369
21,0,63.6934,428.655,864.691,15.0424,490.98,867.39
22,0,63.7095,428.636,864.688,15.0331,490.978,867.389
23,0,63.7073,428.642,864.694,15.015,490.976,867.366
24,0,63.7108,428.652,864.68,15.0453,490.984,867.375
25,0,63.7117,428.663,864.686,15.0237,490.95,867.342
26,0,63.7211,428.681,864.702,15.0491,490.998,867.372
27,0,63.7193,428.682,864.709,15.039,490.991,867.386
28,0,63.7162,428.646,864.69,15.0274,491.005,867.393
29,0,63.7123,428.657,864.701,15.0239,490.963,867.357
30,0,63.7043,428.642,864.697,15.0259,490.964,867.371
31,0,63.7146,428.654,864.711,15.0296,490.974,867.359
32,0,63.7065,428.645,864.691,15.0314,490.974,867.365
33,0,63.7129,428.643,864.695,15.035,490.959,867.353
34,0,63.7288,428.634,864.699,15.0563,490.967,867.365
35,0,63.7415,428.639,864.691,15.0685,490.981,867.375
36,0,63.7367,428.628,864.691,15.0454,490.968,867.389
37,0,63.7272,428.651,864.707,15.0313,490.956,867.373
38,0,63.7272,428.641,864.715,15.0134,490.962,867.394
39,0,63.7164,428.63,864.685,15.0507,490.982,867.383
40,0,63.7178,428.65,864.704,15.0216,490.965,867.364
41,0,63.7203,428.624,864.695,15.0485,490.998,867.374
42,0,63.7166,428.653,864.699,15.0236,490.946,867.338
43,0,63.7102,428.663,864.71,15.0518,490.989,867.354
44,0,63.7192,428.654,864.702,15.0522,491.029,867.378
45,0,63.7201,428.65,864.714,15.0383,490.987,867.38
46,0,63.7288,428.652,864.715,15.0484,490.965,867.354
47,0,63.7205,428.652,864.717,15.0423,490.98,867.383
48,0,63.7406,428.628,864.706,15.0244,490.945,867.354
49,0,63.7501,428.632,864.697,15.0589,490.977,867.376
50,0,63.7441,428.659,864.716,15.0604,490.965,867.363
51,0,63.7709,428.645,864.705,15.0596,490.991,867.397
52,0,63.7565,428.681,864.716,15.0666,491.002,867.378
53,0,63.772,428.665,864.709,15.0528,490.966,867.352
54,0,63.7572,428.661,864.707,15.0626,491.014,867.369
55,0,63.7553,428.681,864.714,15.0543,490.999,867.371
56,0,63.7399,428.689,864.719,15.048,491.006,867.378
57,0,63.7317,428.669,864.705,15.0307,491.013,867.372
58,0,63.7274,428.667,864.727,14.9966,490.984,867.365
59,0,63.7144,428.679,864.72,15.0417,491.02,867.364
60,0,63.703,428.677,864.712,15.0049,490.994,867.359
61,0,63.7094,428.654,864.709,15.0232,491.041,867.382
62,0,63.7316,428.694,864.723,15.028,491.046,867.391
63,0,63.7391,428.693,864.714,15.0178,491.005,867.355
64,0,63.757,428.673,864.702,15.058,491.009,867.366
65,0,63.7601,428.688,864.723,15.0349,491.02,867.381
66,0,63.7632,428.685,864.708,15.0708,491.007,867.361
67,0,63.7827,428.685,864.705,15.0769,491.028,867.372
68,0,63.7857,428.701,864.716,15.0725,491.012,867.36
69,0,63.7789,428.724,864.725,15.0433,490.999,867.335
70,0,63.7997,428.736,864.725,15.0554,490.987,867.338
71,0,63.7717,428.753,864.71,15.0469,491.046,867.355
72,0,63.7854,428.769,864.707,15.0606,491.064,867.352
73,0,63.771,428.787,864.719,15.0684,491.093,867.349
74,0,63.7706,428.799,864.719,15.0579,491.088,867.326
75,0,63.7705,428.807,864.706,15.0475,491.124,867.345
76,0,63.7582,428.808,864.722,15.0348,491.127,867.353
77,0,63.7763,428.823,864.727,15.0447,491.13,867.341
78,0,63.7804,428.801,864.709,15.0407,491.125,867.351
79,0,63.7626,428.83,864.737,15.0478,491.128,867.342
80,0,63.7811,428.818,864.729,15.0562,491.133,867.344
81,0,63.7825,428.84,864.727,15.0329,491.125,867.353
82,0,63.8008,428.833,864.73,15.0659,491.118,867.339
83,0,63.8073,428.809,864.712,15.0755,491.112,867.346
84,0,63.8096,428.798,864.709,15.0689,491.098,867.359
85,0,63.8042,428.777,864.718,15.0803,491.05,867.33
86,0,63.806,428.767,864.712,15.0561,491.063,867.353
87,0,63.8133,428.779,864.72,15.0603,491.035,867.349
88,0,63.8167,428.761,864.715,15.0699,491.045,867.351
89,0,63.8096,428.767,864.718,15.0556,491.027,867.358
90,0,63.8001,428.752,864.713,15.0665,491.052,867.336
91,0,63.7897,428.776,864.718,15.0556,491.062,867.345
92,0,63.7847,428.785,864.723,15.0549,491.086,867.344
93,0,63.7851,428.797,864.731,15.052,491.073,867.35
94,0,63.7699,428.774,864.715,15.065,491.1,867.367
95,0,63.765,428.759,864.713,15.063,491.079,867.358
96,0,63.7686,428.765,864.716,15.0579,491.08,867.359
97,0,63.7732,428.752,864.712,15.0466,491.058,867.356
98,0,63.7859,428.733,864.726,15.0606,491.043,867.376
99,0,63.7784,428.728,864.723,15.066,491.023,867.344
100,0,63.7942,428.736,864.712,15.0429,491.016,867.367
101,0,63.793,428.738,864.721,15.0475,491.015,867.36
102,0,63.7949,428.754,864.721,15.0745,491.031,867.364
103,0,63.8018,428.763,864.718,15.052,491.028,867.334
104,0,63.809,428.782,864.723,15.0875,491.068,867.357
105,0,63.803,428.784,864.715,15.0576,491.07,867.338
106,0,63.7974,428.785,864.718,15.0518,491.106,867.379
107,0,63.8008,428.797,864.709,15.0691,491.105,867.347
108,0,63.7893,428.836,864.723,15.0629,491.109,867.353
109,0,63.7851,428.814,864.726,15.0596,491.124,867.352
110,0,63.7861,428.829,864.718,15.0462,491.121,867.343
111,0,63.7773,428.819,864.716,15.0483,491.129,867.35
112,0,63.7685,428.82,864.72,15.0496,491.136,867.347
113,0,63.737,428.836,864.708,15.0403,491.121,867.332
114,0,63.7519,428.823,864.706,15.0229,491.137,867.35
115,0,63.7425,428.805,864.697,15.03,491.121,867.368
116,0,63.7344,428.795,864.71,15.0267,491.131,867.35
117,0,63.7522,428.801,864.714,15.0174,491.119,867.364
118,0,63.7523,428.811,864.734,15.0144,491.122,867.375
119,0,63.7483,428.809,864.718,15.0246,491.122,867.372
120,0,63.7394,428.818,864.73,15.0404,491.115,867.359
121,0,63.7641,428.83,864.72,15.0437,491.129,867.353
122,0,63.7572,428.867,864.751,15.0543,491.149,867.366
123,0,63.7582,428.854,864.726,15.0445,491.148,867.349
124,0,63.7606,428.851,864.728,15.0402,491.164,867.342
125,0,63.7487,428.857,864.734,15.0241,491.154,867.364
126,0,63.745,428.855,864.724,15.0422,491.157,867.363
127,0,63.7454,428.87,864.75,15.0329,491.133,867.337
128,0,63.7398,428.828,864.719,15.012,491.142,867.359
129,0,63.7413,428.82,864.734,15.015,491.101,867.356
