Trajectories
100
,,1:11,,,1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,59.5102,431.088,864.214,13.943,497.883,870.869
2,0,59.5483,431.121,864.233,14.3761,498.144,870.897
3,0,59.6095,431.143,864.24,14.1258,498.102,871.092
4,0,59.6435,431.149,864.272,14.5034,498.164,871.031
5,0,59.6937,431.21,864.291,14.5716,498.245,871.131
6,0,59.7307,431.238,864.312,14.6809,498.307,871.227
7,0,59.786,431.236,864.304,14.7585,498.293,871.308
8,0,59.8314,431.247,864.32,14.8353,498.293,871.395
9,0,59.8747,431.28,864.344,14.9365,498.361,871.511
10,0,59.9497,431.306,864.351,15.0274,498.397,871.628
11,0,60.0059,431.332,864.36,15.1369,498.448,871.758
12,0,60.043,431.333,864.398,15.2392,498.472,871.887
13,0,60.0677,431.31,864.401,15.3757,498.472,872.051
14,0,60.1246,431.274,864.396,15.4697,498.434,872.192
15,0,60.1518,431.289,864.429,15.5644,498.455,872.329
16,0,60.1886,431.302,864.42,15.6847,498.461,872.431
17,0,60.2663,431.324,864.447,16.0602,499.062,873.065
18,0,60.2907,431.326,864.436,16.1285,499.065,873.155
19,0,60.2906,431.279,864.451,16.1859,499.07,873.264
20,0,60.2917,431.29,864.454,16.2127,499.068,873.296
21,0,60.2726,431.227,864.421,16.2011,499.046,873.294
22,0,60.245,431.249,864.434,16.1577,499.002,873.313
23,0,60.2091,431.179,864.424,16.1014,498.98,873.349
24,0,60.1527,431.114,864.442,16.0257,498.847,873.351
25,0,60.1082,431.061,864.445,15.7496,498.302,872.97
26,0,60.0516,430.969,864.449,15.696,498.212,873.024
27,0,60.0101,430.885,864.431,15.6326,498.142,873.061
28,0,59.9326,430.844,864.437,15.5583,498.06,873.07
29,0,59.9059,430.838,864.459,15.4746,497.994,873.057
30,0,59.8452,430.81,864.433,15.4247,497.95,872.994
31,0,59.8198,430.763,864.411,15.354,497.943,872.96
32,0,59.7897,430.791,864.411,15.2827,497.893,872.918
33,0,59.7394,430.769,864.414,15.2287,497.867,872.882
34,0,59.7094,430.702,864.377,15.1671,497.818,872.842
35,0,59.6855,430.708,864.374,15.109,497.766,872.822
36,0,59.6542,430.69,864.368,15.0465,497.744,872.768
37,0,59.6311,430.659,864.351,14.9841,497.676,872.778
38,0,59.5969,430.607,864.353,14.8755,497.595,872.728
39,0,59.5304,430.556,864.344,14.8167,497.577,872.704
40,0,59.4951,430.521,864.331,14.6848,497.468,872.634
41,0,59.4249,430.468,864.322,14.5862,497.419,872.604
42,0,59.3744,430.385,864.284,14.48,497.335,872.554
43,0,59.302,430.319,864.285,14.3898,497.251,872.52
44,0,59.2611,430.272,864.262,14.3339,497.211,872.513
45,0,59.1902,430.247,864.27,14.273,497.193,872.558
46,0,59.1494,430.179,864.242,14.1902,497.118,872.542
47,0,59.1091,430.16,864.242,14.1337,497.074,872.536
48,0,59.0668,430.16,864.264,14.0743,497.029,872.517
49,0,59.0458,430.138,864.249,14.0282,497.004,872.508
50,0,59.0124,430.154,864.241,13.9821,496.974,872.497
51,0,58.985,430.163,864.245,13.9315,496.96,872.491
52,0,58.9654,430.179,864.273,13.8694,496.949,872.491
53,0,58.9504,430.19,864.263,13.8365,496.882,872.454
54,0,58.9334,430.197,864.269,13.7628,496.889,872.463
55,0,58.9029,430.195,864.265,13.9751,497.328,872.901
56,0,58.8704,430.213,864.271,13.9061,497.321,872.893
57,0,58.8251,430.18,864.244,13.8562,497.334,872.849
58,0,58.7862,430.223,864.245,13.7929,497.323,872.818
