Trajectories
100
,,1:11,,,1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,53.1032,428.516,864.834,9.53488,493.371,873.945
2,0,53.059,428.507,864.848,9.52431,493.34,873.931
3,0,53.0386,428.485,864.854,9.49675,493.334,873.95
4,0,52.992,428.474,864.868,9.48053,493.336,873.963
5,0,53.0162,428.412,864.837,9.49086,493.334,873.962
6,0,53.0127,428.397,864.81,9.48687,493.326,873.983
7,0,53.0143,428.368,864.78,9.50907,493.335,874.003
8,0,53.0118,428.321,864.756,9.50632,493.331,874.007
9,0,53.0187,428.301,864.726,9.52311,493.337,874.025
10,0,53.035,428.289,864.706,9.54266,493.379,874.044
11,0,53.0861,428.3,864.672,9.57928,493.385,874.029
12,0,53.1443,428.308,864.645,9.59227,493.394,874.021
13,0,53.1731,428.325,864.64,9.59435,493.401,874.044
14,0,53.1575,428.324,864.635,9.5956,493.372,874.043
15,0,53.1447,428.293,864.6,9.59144,493.395,874.046
16,0,53.1478,428.271,864.589,9.56856,493.369,874.034
17,0,53.1429,428.307,864.613,9.568,493.377,874.05
18,0,53.1307,428.298,864.589,9.5633,493.368,874.054
19,0,53.1586,428.322,864.586,9.55741,493.387,874.052
20,0,53.1884,428.336,864.592,9.5671,493.371,874.043
21,0,53.2047,428.404,864.622,9.57152,493.399,874.041
22,0,53.2244,428.381,864.601,9.58837,493.386,874.025
23,0,53.2537,428.545,864.719,9.59482,493.412,874.03
24,0,53.2613,428.533,864.712,9.60428,493.387,874.011
25,0,53.2556,428.534,864.713,9.6133,493.4,874.035
26,0,53.2808,428.553,864.731,9.60367,493.391,874.003
27,0,53.2972,428.571,864.732,9.60708,493.409,874.02
28,0,53.3152,428.582,864.729,9.59955,493.364,873.994
29,0,53.3088,428.585,864.726,9.60305,493.413,874.042
30,0,53.303,428.542,864.679,9.58215,493.401,874.037
31,0,53.2896,428.513,864.675,9.5782,493.368,874.034
32,0,53.2647,428.547,864.695,9.55492,493.352,874.043
33,0,53.2738,428.485,864.651,9.55931,493.343,874.05
34,0,53.2616,428.508,864.702,9.54731,493.302,874.047
35,0,53.2608,428.462,864.671,9.54179,493.294,874.074
36,0,53.2607,428.466,864.69,9.54065,493.281,874.074
37,0,53.2491,428.463,864.696,9.54591,493.237,874.059
38,0,53.2726,428.451,864.702,9.56621,493.249,874.053
39,0,53.2892,428.415,864.686,9.5745,493.219,874.061
40,0,53.2782,428.422,864.689,9.58945,493.212,874.036
41,0,53.284,428.427,864.702,9.58879,493.208,874.029
42,0,53.2831,428.444,864.733,9.58391,493.19,874.014
43,0,53.2757,428.427,864.728,9.60583,493.215,874.034
44,0,53.2935,428.273,864.605,9.60821,493.189,874.025
45,0,53.3217,428.391,864.712,9.62367,493.186,873.995
46,0,53.3169,428.414,864.725,9.63325,493.179,873.988
47,0,53.3199,428.438,864.73,9.65151,493.186,873.976
48,0,53.3333,428.425,864.741,9.65784,493.191,873.971
49,0,53.3461,428.489,864.744,9.65547,493.214,873.951
50,0,53.357,428.473,864.735,9.65694,493.22,873.952
51,0,53.3853,428.522,864.77,9.67148,493.243,873.928
52,0,53.3798,428.529,864.755,9.69682,493.26,873.916
53,0,53.375,428.52,864.726,9.70507,493.288,873.908
54,0,53.3716,428.52,864.742,9.72212,493.32,873.92
55,0,53.3928,428.577,864.77,9.72058,493.32,873.881
56,0,53.379,428.555,864.754,9.71808,493.323,873.878
57,0,53.3609,428.538,864.742,9.70665,493.327,873.884
58,0,53.3539,428.605,864.811,9.72409,493.325,873.89
59,0,53.3649,428.526,864.758,9.69995,493.327,873.914
60,0,53.3282,428.513,864.775,9.69714,493.291,873.899
61,0,53.3428,428.491,864.756,9.71179,493.3,873.913
62,0,53.3264,428.484,864.744,9.71147,493.251,873.887
63,0,53.3715,428.51,864.767,9.71739,493.289,873.908
64,0,53.3803,428.503,864.762,9.7167,493.259,873.892
65,0,53.3953,428.471,864.745,9.75463,493.295,873.92
66,0,53.3895,428.471,864.722,9.73875,493.241,873.873
67,0,53.3797,428.47,864.771,9.72046,493.242,873.877
68,0,53.3645,428.414,864.753,9.74008,493.213,873.871
69,0,53.3629,428.413,864.732,9.7514,493.237,873.901
70,0,53.3616,428.384,864.735,9.74549,493.229,873.904
71,0,53.3502,428.341,864.706,9.70831,493.15,873.886
72,0,53.3429,428.295,864.682,9.72775,493.188,873.91
73,0,53.3241,428.306,864.699,9.75793,493.207,873.919
74,0,53.34,428.298,864.719,9.76291,493.17,873.906
75,0,53.3398,428.276,864.706,9.76411,493.222,873.912
76,0,53.3367,428.243,864.676,9.76868,493.191,873.89
77,0,53.3488,428.266,864.719,9.78471,493.177,873.883
78,0,53.3733,428.276,864.725,9.77705,493.15,873.854
79,0,53.4092,428.256,864.688,9.8331,493.187,873.836
80,0,53.426,428.345,864.725,9.88035,493.216,873.799
81,0,53.5005,428.302,864.674,9.92845,493.197,873.768
82,0,53.5714,428.296,864.654,9.92995,493.165,873.714
83,0,53.6171,428.217,864.628,9.96097,493.123,873.685
84,0,53.598,428.22,864.659,9.97781,493.125,873.704
85,0,53.6189,428.155,864.656,9.98113,493.089,873.696
86,0,53.6241,428.124,864.661,10.0131,493.068,873.665
87,0,53.6337,428.097,864.652,10.0329,493.038,873.647
88,0,53.6434,428.074,864.643,9.89217,492.862,873.544
89,0,53.7097,428.048,864.642,9.91927,492.813,873.529
90,0,53.7786,428.062,864.658,9.94721,492.791,873.499
91,0,53.9012,427.383,864.072,9.97779,492.763,873.476
92,0,53.9309,427.369,864.081,9.97589,492.756,873.479
93,0,53.9289,427.352,864.096,9.9452,492.67,873.439
94,0,53.9145,427.325,864.084,9.92571,492.616,873.432
95,0,53.9218,427.289,864.087,9.89948,492.617,873.44
96,0,53.9156,427.276,864.097,9.89663,492.586,873.436
97,0,53.9116,427.232,864.082,9.87697,492.501,873.373
98,0,53.8933,427.232,864.115,9.84692,492.459,873.369
99,0,53.8897,427.234,864.125,9.83871,492.438,873.381
100,0,53.8731,427.205,864.137,9.8284,492.422,873.347
101,0,53.79,427.735,864.656,9.82791,492.359,873.279
102,0,53.9005,427.217,864.167,9.88838,492.397,873.23
103,0,53.9526,427.188,864.125,9.97215,492.382,873.177
104,0,54.0182,427.21,864.156,10.0327,492.361,873.15
105,0,54.0457,427.211,864.158,10.0941,492.361,873.118
106,0,54.0562,427.198,864.174,10.1417,492.313,873.086
107,0,54.0842,427.174,864.162,10.2065,492.319,873.053
108,0,53.9808,427.643,864.612,10.239,492.293,873.036
109,0,54.0718,427.099,864.154,10.2759,492.255,872.997
110,0,54.0515,427.062,864.151,10.2822,492.248,873.01
111,0,53.9965,426.972,864.131,10.3011,492.213,872.992
112,0,53.9347,426.964,864.157,10.2861,492.189,872.981
113,0,53.9143,426.961,864.177,10.275,492.205,872.991
114,0,53.806,427.462,864.644,10.2691,492.202,873.004
115,0,53.8767,426.912,864.17,10.2987,492.183,872.971
116,0,53.8623,426.879,864.146,10.2787,492.227,872.998
117,0,53.8196,426.903,864.172,10.2988,492.226,872.969
118,0,53.8067,426.908,864.176,10.2953,492.21,872.946
119,0,53.7819,426.907,864.192,10.3002,492.223,872.969
120,0,53.7482,426.885,864.174,10.3195,492.23,872.926
121,0,53.7054,426.847,864.151,10.2945,492.232,872.949
122,0,53.693,426.842,864.158,10.31,492.212,872.943
123,0,53.6743,426.817,864.148,10.3448,492.211,872.927
124,0,53.6511,426.827,864.15,10.3297,492.203,872.93
125,0,53.6327,426.796,864.146,10.3491,492.206,872.92
126,0,53.5869,426.738,864.111,10.3423,492.194,872.906
127,0,53.5693,426.748,864.139,10.3663,492.233,872.89
128,0,53.5427,426.734,864.129,10.3553,492.214,872.896
129,0,53.5195,426.7,864.103,10.2754,492.109,872.824
130,0,53.4645,426.654,864.088,10.3422,492.214,872.874
131,0,53.416,426.646,864.091,10.354,492.215,872.865
132,0,53.4178,426.645,864.101,10.365,492.244,872.866
133,0,53.3893,426.659,864.101,10.3701,492.247,872.847
134,0,53.3406,426.633,864.086,10.4219,492.315,872.878
135,0,53.2934,426.622,864.082,10.4132,492.332,872.859
136,0,53.2492,426.602,864.096,10.3831,492.3,872.808
137,0,53.2046,426.598,864.095,10.4006,492.341,872.821
138,0,53.1373,426.599,864.11,10.3784,492.32,872.817
139,0,53.0949,426.557,864.082,10.4241,492.384,872.833
140,0,53.0325,426.534,864.072,10.4146,492.37,872.815
141,0,52.9825,426.5,864.05,10.3415,492.299,872.764
142,0,52.9183,426.483,864.043,10.3207,492.249,872.744
143,0,52.855,426.468,864.05,10.3084,492.26,872.724
144,0,52.7993,426.429,864.035,10.3883,492.35,872.748
145,0,52.7289,426.424,864.035,10.3314,492.286,872.744
146,0,52.6668,426.38,864.031,10.2904,492.266,872.714
147,0,52.6208,426.37,864.04,10.3809,492.379,872.774
148,0,52.5631,426.357,864.033,10.3705,492.381,872.794
149,0,52.5051,426.337,864.037,10.362,492.362,872.764
150,0,52.4584,426.311,864.031,10.3289,492.346,872.766
151,0,52.3937,426.274,864.035,10.3257,492.337,872.766
152,0,52.3347,426.279,864.047,10.2617,492.293,872.728
153,0,52.277,426.259,864.042,9.84101,491.948,872.476
154,0,52.1951,426.245,864.04,9.47114,491.475,872.225
155,0,52.1418,426.198,864.058,9.46539,491.441,872.156
156,0,52.0421,426.161,864.073,9.42351,491.398,872.149
157,0,51.9924,426.162,864.086,9.33,491.332,872.104
158,0,51.9797,426.133,864.058,9.28861,491.299,872.071
159,0,51.9302,426.071,864.025,9.28643,491.29,872.052
160,0,51.8888,426.073,864.026,9.23754,491.285,872.035
161,0,51.8294,426.044,864.017,9.19335,491.27,872.02
162,0,51.7865,426.032,863.99,9.47874,491.664,872.231
163,0,51.7473,425.993,863.965,9.23355,491.357,872.047
164,0,51.74,425.989,863.951,9.23747,491.354,872.023
165,0,51.711,425.973,863.949,9.4604,491.663,872.183
166,0,51.6808,425.971,863.954,9.44144,491.702,872.202
167,0,51.6675,425.955,863.934,9.43539,491.677,872.179
