Trajectories
100
,,1:11,,,1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,65.5452,427.618,864.707,20.3988,492.854,868.048
2,0,65.5257,427.608,864.715,20.3809,492.841,868.045
3,0,65.5434,427.628,864.708,20.4245,492.902,868.1
4,0,65.5358,427.603,864.707,20.3902,492.826,868.034
5,0,65.5416,427.597,864.714,20.414,492.835,868.064
6,0,65.5517,427.58,864.724,20.433,492.82,868.059
7,0,65.557,427.577,864.736,20.4419,492.847,868.127
8,0,65.5552,427.531,864.727,20.4565,492.833,868.143
9,0,65.5734,427.557,864.737,20.459,492.783,868.115
10,0,65.5986,427.514,864.714,20.4949,492.819,868.167
11,0,65.5867,427.537,864.747,20.5126,492.793,868.134
12,0,65.5938,427.546,864.751,20.5236,492.769,868.079
13,0,65.5764,427.577,864.749,20.4922,492.791,868.121
14,0,65.5614,427.568,864.77,20.5082,492.83,868.171
15,0,65.5512,427.57,864.751,20.4996,492.903,868.202
16,0,65.5319,427.611,864.785,20.5041,492.825,868.149
17,0,65.5414,427.598,864.767,20.4617,492.791,868.101
18,0,65.5209,427.544,864.735,20.4966,492.867,868.202
19,0,65.5042,427.553,864.768,20.4934,492.847,868.154
20,0,65.5053,427.57,864.767,20.464,492.816,868.16
21,0,65.5161,427.539,864.746,20.4575,492.818,868.154
22,0,65.5179,427.559,864.773,20.4694,492.787,868.115
23,0,65.5305,427.539,864.754,20.4917,492.831,868.163
24,0,65.5478,427.565,864.759,20.4883,492.777,868.108
25,0,65.549,427.534,864.747,20.4736,492.797,868.127
26,0,65.5496,427.549,864.766,20.5035,492.823,868.176
27,0,65.5529,427.558,864.758,20.4736,492.789,868.096
28,0,65.5354,427.538,864.743,20.4526,492.756,868.07
29,0,65.5234,427.548,864.758,20.4896,492.83,868.142
30,0,65.5236,427.54,864.749,20.4733,492.789,868.108
31,0,65.5153,427.559,864.758,20.4769,492.794,868.126
32,0,65.5161,427.564,864.766,20.4549,492.8,868.122
33,0,65.5095,427.553,864.751,20.45,492.83,868.138
34,0,65.5062,427.549,864.753,20.4642,492.816,868.113
35,0,65.5108,427.543,864.749,20.4624,492.815,868.127
36,0,65.5075,427.565,864.754,20.4809,492.842,868.155
37,0,65.5161,427.572,864.763,20.4413,492.8,868.104
38,0,65.5124,427.545,864.733,20.4882,492.828,868.126
39,0,65.5177,427.565,864.768,20.4925,492.854,868.163
40,0,65.5143,427.544,864.733,20.4725,492.828,868.138
41,0,65.5239,427.575,864.759,20.4737,492.802,868.113
42,0,65.5089,427.555,864.745,20.4751,492.84,868.135
43,0,65.516,427.537,864.741,20.5005,492.85,868.163
44,0,65.5072,427.547,864.741,20.4826,492.834,868.149
45,0,65.5254,427.529,864.742,20.4671,492.795,868.131
46,0,65.5188,427.535,864.772,20.4782,492.822,868.136
47,0,65.5295,427.501,864.729,20.5087,492.799,868.145
48,0,65.51,427.521,864.759,20.4779,492.794,868.143
49,0,65.5172,427.467,864.729,20.4878,492.799,868.155
50,0,65.5119,427.487,864.75,20.4913,492.804,868.176
51,0,65.5058,427.476,864.739,20.501,492.777,868.166
52,0,65.5036,427.491,864.758,20.5011,492.799,868.175
53,0,65.5076,427.481,864.725,20.4742,492.822,868.198
54,0,65.4927,427.477,864.739,20.5298,492.832,868.208
55,0,65.498,427.462,864.738,20.5282,492.838,868.208
56,0,65.49,427.473,864.748,20.4848,492.783,868.134
57,0,65.486,427.47,864.74,20.492,492.826,868.181
58,0,65.5038,427.496,864.759,20.455,492.745,868.094
59,0,65.4897,427.49,864.739,20.4827,492.801,868.151
60,0,65.4969,427.478,864.729,20.4718,492.798,868.158
61,0,65.5125,427.506,864.755,20.5015,492.813,868.174
62,0,65.5098,427.491,864.761,20.4707,492.808,868.163
63,0,65.5128,427.504,864.766,20.479,492.812,868.172
64,0,65.5181,427.542,864.775,20.4792,492.794,868.148
65,0,65.5241,427.524,864.751,20.4909,492.744,868.077
66,0,65.5406,427.549,864.761,20.475,492.817,868.143
67,0,65.5346,427.58,864.778,20.4787,492.818,868.14
68,0,65.5361,427.6,864.781,20.4992,492.846,868.149
69,0,65.5502,427.591,864.776,20.5081,492.83,868.13
70,0,65.5413,427.598,864.776,20.484,492.871,868.143
71,0,65.553,427.577,864.768,20.4946,492.846,868.136
72,0,65.5564,427.58,864.786,20.5026,492.884,868.188
73,0,65.5492,427.536,864.756,20.5339,492.853,868.163
74,0,65.5329,427.535,864.778,20.4858,492.822,868.159
75,0,65.5182,427.54,864.78,20.4938,492.787,868.153
76,0,65.5086,427.47,864.745,20.5256,492.816,868.213
77,0,65.5046,427.463,864.769,20.5386,492.834,868.235
78,0,65.5116,427.455,864.766,20.5182,492.794,868.195
79,0,65.5164,427.45,864.766,20.5384,492.782,868.215
80,0,65.5367,427.434,864.764,20.503,492.722,868.162
81,0,65.5308,427.435,864.776,20.5517,492.774,868.212
82,0,65.5491,427.431,864.762,20.5357,492.726,868.182
83,0,65.5404,427.388,864.755,20.5098,492.706,868.18
84,0,65.5295,427.428,864.774,20.5192,492.716,868.175
85,0,65.5411,427.384,864.743,20.5351,492.753,868.205
86,0,65.5346,427.42,864.757,20.5486,492.775,868.209
87,0,65.5457,427.436,864.763,20.5369,492.778,868.205
88,0,65.5522,427.478,864.784,20.5408,492.822,868.207
89,0,65.5379,427.488,864.784,20.4987,492.762,868.139
90,0,65.5258,427.499,864.771,20.5177,492.791,868.172
91,0,65.5188,427.505,864.78,20.483,492.751,868.117
92,0,65.5195,427.477,864.763,20.4925,492.776,868.142
93,0,65.5255,427.484,864.767,20.4584,492.77,868.15
94,0,65.5099,427.485,864.765,20.485,492.776,868.136
95,0,65.5168,427.488,864.77,20.4608,492.767,868.128
96,0,65.5013,427.486,864.764,20.453,492.761,868.121
97,0,65.5116,427.493,864.774,20.4451,492.718,868.076
98,0,65.5125,427.468,864.74,20.4554,492.755,868.092
99,0,65.5143,427.465,864.759,20.5183,492.791,868.152
100,0,65.5026,427.465,864.761,20.4655,492.757,868.124
101,0,65.4895,427.469,864.757,20.4513,492.737,868.103
102,0,65.4686,427.436,864.75,20.4653,492.766,868.144
103,0,65.462,427.45,864.756,20.4547,492.757,868.124
104,0,65.45,427.445,864.77,20.4609,492.729,868.106
105,0,65.4702,427.404,864.753,20.4586,492.748,868.128
106,0,65.4517,427.42,864.758,20.4625,492.759,868.145
107,0,65.4663,427.408,864.759,20.436,492.713,868.109
108,0,65.4544,427.403,864.747,20.4529,492.742,868.149
109,0,65.4658,427.395,864.751,20.5138,492.753,868.191
110,0,65.4677,427.399,864.765,20.4999,492.721,868.158
111,0,65.4711,427.399,864.763,20.507,492.738,868.168
112,0,65.4554,427.427,864.771,20.463,492.736,868.131
113,0,65.4728,427.444,864.758,20.5011,492.819,868.215
114,0,65.4725,427.44,864.759,20.4511,492.731,868.127
115,0,65.4651,427.439,864.749,20.4495,492.733,868.111
116,0,65.4759,427.447,864.749,20.4406,492.756,868.107
117,0,65.4729,427.445,864.753,20.415,492.738,868.091
118,0,65.4669,427.478,864.764,20.4574,492.78,868.149
119,0,65.4711,427.451,864.759,20.4849,492.843,868.209
120,0,65.4713,427.467,864.761,20.4354,492.748,868.11
121,0,65.4631,427.461,864.764,20.4724,492.773,868.144
122,0,65.4591,427.428,864.749,20.4623,492.784,868.163
123,0,65.4482,427.425,864.766,20.4617,492.738,868.136
124,0,65.4519,427.402,864.746,20.4523,492.723,868.127
125,0,65.4548,427.387,864.739,20.4721,492.753,868.161
126,0,65.471,427.414,864.755,20.4841,492.745,868.172
127,0,65.4688,427.404,864.757,20.4739,492.738,868.175
128,0,65.4822,427.379,864.743,20.4673,492.719,868.14
129,0,65.4858,427.393,864.754,20.4467,492.721,868.157
130,0,65.4978,427.388,864.754,20.4564,492.7,868.128
131,0,65.4761,427.402,864.747,20.4959,492.759,868.176
132,0,65.4689,427.424,864.759,20.4917,492.771,868.175
133,0,65.4678,427.434,864.766,20.4723,492.745,868.124
134,0,65.4654,427.456,864.766,20.4894,492.804,868.194
135,0,65.4682,427.473,864.78,20.477,492.777,868.136
136,0,65.4696,427.469,864.772,20.4318,492.769,868.136
137,0,65.4798,427.446,864.747,20.4347,492.73,868.09
138,0,65.4776,427.445,864.746,20.4533,492.722,868.096
139,0,65.4858,427.457,864.752,20.4236,492.748,868.117
140,0,65.4811,427.445,864.746,20.4304,492.736,868.107
141,0,65.4745,427.445,864.757,20.4628,492.713,868.092
142,0,65.4807,427.447,864.749,20.4988,492.785,868.167
143,0,65.4764,427.429,864.75,20.4957,492.762,868.155
144,0,65.4659,427.401,864.737,20.4868,492.747,868.156
145,0,65.4835,427.426,864.755,20.4312,492.737,868.127
146,0,65.4818,427.433,864.759,20.4213,492.686,868.071
147,0,65.4784,427.427,864.751,20.4579,492.746,868.151
148,0,65.4613,427.413,864.738,20.4698,492.747,868.143
149,0,65.4712,427.417,864.751,20.4684,492.726,868.115
150,0,65.4653,427.408,864.75,20.412,492.732,868.112
151,0,65.4564,427.408,864.753,20.4751,492.74,868.143
152,0,65.4416,427.377,864.739,20.4489,492.712,868.125
153,0,65.4468,427.372,864.739,20.4816,492.759,868.194
154,0,65.4548,427.375,864.737,20.4455,492.75,868.157
155,0,65.4629,427.366,864.731,20.4691,492.756,868.169
156,0,65.4725,427.408,864.751,20.4529,492.726,868.125
157,0,65.486,427.383,864.722,20.4469,492.709,868.113
158,0,65.496,427.426,864.75,20.4655,492.747,868.154
159,0,65.5005,427.444,864.756,20.4445,492.73,868.112
160,0,65.5017,427.461,864.755,20.4153,492.678,868.065
161,0,65.499,427.462,864.753,20.4344,492.774,868.142
162,0,65.4889,427.428,864.739,20.4631,492.753,868.125
163,0,65.4887,427.415,864.74,20.4254,492.691,868.062
164,0,65.4741,427.423,864.733,20.4373,492.725,868.098
165,0,65.4584,427.422,864.738,20.4381,492.752,868.151
166,0,65.459,427.391,864.735,20.4783,492.791,868.187
167,0,65.4339,427.387,864.733,20.431,492.715,868.126
168,0,65.446,427.345,864.716,20.4663,492.75,868.16
169,0,65.4368,427.352,864.735,20.4781,492.768,868.205
