Trajectories
100
,,1.1:11,,,1.1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,108,297.078,876.631,52.5505,352.378,892.62
2,0,108.07,297.164,876.668,52.2706,351.743,892.237
3,0,108.165,297.219,876.667,52.7978,352.555,892.656
4,0,108.23,297.283,876.659,52.8941,352.64,892.656
5,0,108.27,297.279,876.682,52.9998,352.714,892.66
6,0,108.321,297.366,876.695,53.0702,352.797,892.69
7,0,108.33,297.337,876.68,53.132,352.844,892.652
8,0,108.338,297.329,876.68,53.1619,352.923,892.662
9,0,108.344,297.355,876.643,53.1921,352.974,892.628
10,0,108.345,297.391,876.638,53.2172,353.003,892.57
11,0,108.32,297.347,876.6,53.196,353.029,892.515
12,0,108.316,297.356,876.52,53.1449,353.039,892.476
13,0,108.282,297.402,876.516,53.0909,353.044,892.44
14,0,108.214,297.35,876.467,52.8084,352.569,892.1
15,0,108.175,297.374,876.447,52.7061,352.499,892.014
16,0,108.139,297.414,876.413,52.6257,352.453,891.97
17,0,108.075,297.359,876.372,52.5254,352.445,891.935
18,0,108.017,297.379,876.355,52.4595,352.385,891.846
19,0,107.975,297.377,876.301,52.3811,352.371,891.792
20,0,107.938,297.297,876.251,52.315,352.358,891.746
21,0,107.869,297.286,876.174,52.2703,352.34,891.689
22,0,107.846,297.267,876.133,52.1937,352.341,891.618
23,0,107.807,297.283,876.089,52.1679,352.368,891.565
24,0,107.78,297.354,876.066,52.1388,352.389,891.509
25,0,107.743,297.309,876.008,52.1074,352.391,891.433
26,0,107.75,297.361,875.982,52.0763,352.417,891.365
27,0,107.72,297.336,875.942,52.0386,352.408,891.311
28,0,107.723,297.405,875.928,52.0445,352.441,891.302
29,0,107.72,297.442,875.923,52.0132,352.418,891.256
30,0,107.667,297.226,875.826,52.0097,352.468,891.243
31,0,107.702,297.348,875.882,52.0134,352.429,891.216
32,0,107.694,297.286,875.835,52.0518,352.457,891.242
33,0,107.708,297.24,875.845,52.0192,352.374,891.206
34,0,107.685,297.188,875.868,52.0215,352.37,891.26
35,0,107.697,297.195,875.879,52.0241,352.359,891.275
36,0,107.741,297.308,875.96,52.0088,352.327,891.306
37,0,107.736,297.272,875.972,52.0109,352.324,891.347
38,0,107.748,297.291,876.003,52.0092,352.273,891.356
39,0,107.75,297.303,876.055,51.9985,352.264,891.385
40,0,107.77,297.3,876.052,52.0178,352.247,891.395
41,0,107.798,297.345,876.079,52.0118,352.26,891.406
42,0,107.794,297.321,876.085,52.0087,352.267,891.395
43,0,107.781,297.379,876.107,51.9862,352.262,891.367
44,0,107.769,297.373,876.074,51.945,352.259,891.314
45,0,107.769,297.422,876.077,51.8882,352.259,891.3
46,0,107.726,297.387,876.072,51.8308,352.237,891.243
47,0,107.71,297.494,876.118,51.7523,352.258,891.192
48,0,107.687,297.526,876.082,51.6318,352.251,891.138
49,0,107.6,297.507,876.054,51.5284,352.264,891.022
50,0,107.525,297.458,875.979,51.4188,352.298,890.93
51,0,107.448,297.55,875.982,51.288,352.3,890.81
52,0,107.387,297.527,875.922,51.1177,352.343,890.691
53,0,107.246,297.465,875.859,50.9174,352.346,890.567
54,0,107.1,297.324,875.763,50.9009,352.85,890.821
55,0,106.886,297.101,875.629,50.4412,352.187,890.429
56,0,106.737,297.063,875.585,50.1535,352.035,890.404
57,0,106.42,296.476,875.468,49.8727,351.853,890.371
58,0,106.242,296.301,875.379,49.551,351.611,890.316
59,0,106.089,296.221,875.366,49.2727,351.459,890.276
60,0,105.693,295.35,875.315,49.0422,351.313,890.266
61,0,105.545,295.272,875.294,48.794,350.996,890.109
62,0,105.415,295.161,875.272,48.6053,350.805,890.04
63,0,105.32,295.085,875.262,48.4608,350.621,889.979
64,0,105.211,294.98,875.24,48.3275,350.461,889.94
65,0,105.135,294.943,875.294,48.1671,350.188,889.842
66,0,105.054,294.875,875.316,48.0675,350.073,889.87
67,0,105.01,294.835,875.361,47.9886,349.981,889.917
68,0,104.973,294.774,875.393,47.9171,349.799,889.887
69,0,104.928,294.739,875.434,47.9207,349.885,890.015
70,0,104.922,294.696,875.444,47.9693,349.873,890.059
71,0,105.226,295.336,875.543,47.9892,349.814,890.051
72,0,105.293,295.347,875.546,48.0561,349.969,890.188
73,0,105.345,295.356,875.576,48.1198,349.956,890.193
74,0,105.396,295.343,875.616,48.2003,350.017,890.261
75,0,105.449,295.384,875.69,48.2605,349.969,890.261
76,0,105.526,295.426,875.705,48.3194,350.061,890.358
77,0,105.593,295.462,875.748,48.3978,350.052,890.367
78,0,105.638,295.482,875.759,48.4589,350.062,890.387
79,0,105.696,295.515,875.769,48.4849,350.129,890.423
80,0,105.718,295.572,875.766,48.5218,350.062,890.366
81,0,105.735,295.57,875.755,48.5444,350.086,890.356
82,0,105.773,295.644,875.763,48.5146,350.12,890.354
83,0,105.755,295.658,875.753,48.4957,350.08,890.293
84,0,105.729,295.727,875.772,48.4837,350.114,890.291
85,0,105.683,295.658,875.706,48.4128,350.059,890.213
86,0,105.644,295.645,875.698,48.362,349.986,890.151
87,0,105.596,295.636,875.694,48.3192,349.951,890.117
88,0,105.544,295.629,875.666,48.2325,349.941,890.076
89,0,105.462,295.585,875.676,48.1789,349.937,890.08
90,0,105.435,295.527,875.623,48.1153,349.841,889.998
91,0,105.374,295.504,875.61,48.0716,349.838,890.007
92,0,105.333,295.476,875.595,47.9982,349.707,889.904
93,0,105.35,295.624,875.578,47.9604,349.673,889.897
94,0,105.306,295.619,875.567,47.9256,349.663,889.871
95,0,105.242,295.621,875.571,47.8863,349.925,890.065
96,0,105.247,295.698,875.53,47.841,349.896,890.026
97,0,105.145,295.592,875.505,47.7385,349.747,889.908
98,0,105.087,295.54,875.487,47.6695,349.728,889.881
99,0,104.593,294.448,875.42,47.5985,349.718,889.859
100,0,104.514,294.408,875.383,47.5134,349.684,889.843
101,0,104.425,294.365,875.37,47.6132,350.198,890.18
102,0,104.381,294.355,875.375,47.5364,350.168,890.154
103,0,104.3,294.299,875.346,47.4678,350.043,890.04
