Trajectories
100
,,1.1:11,,,1.1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,102.937,316.932,872.566,32.1785,352.823,858.546
2,0,102.938,316.928,872.575,32.1827,352.814,858.555
3,0,102.918,316.934,872.564,32.1666,352.771,858.522
4,0,102.928,316.944,872.573,32.1734,352.8,858.533
5,0,102.939,316.935,872.572,32.1566,352.782,858.538
6,0,102.942,316.96,872.585,32.1473,352.777,858.516
7,0,102.942,317.02,872.587,32.1339,352.79,858.514
8,0,102.943,317.096,872.613,32.1439,352.807,858.489
9,0,102.952,317.087,872.588,32.1238,352.862,858.52
10,0,102.933,317.107,872.571,32.1282,352.842,858.475
11,0,102.933,317.148,872.6,32.1078,352.849,858.496
12,0,102.926,317.15,872.607,32.0909,352.827,858.484
13,0,102.931,317.177,872.614,32.0763,352.805,858.486
14,0,102.932,317.16,872.636,32.0828,352.778,858.501
15,0,102.954,317.159,872.644,32.0609,352.75,858.49
16,0,102.949,317.116,872.61,32.083,352.711,858.476
17,0,102.953,317.054,872.578,32.104,352.725,858.497
18,0,102.961,317.039,872.591,32.1143,352.705,858.484
19,0,102.989,317.062,872.614,32.1364,352.764,858.506
20,0,102.968,317.042,872.601,32.115,352.71,858.506
21,0,102.989,317.06,872.657,32.1398,352.746,858.539
22,0,102.972,317.046,872.66,32.1194,352.735,858.526
23,0,102.966,317.062,872.684,32.1062,352.723,858.537
24,0,102.95,317.029,872.665,32.0733,352.708,858.505
25,0,102.935,317.062,872.703,32.0879,352.751,858.547
26,0,102.924,317.056,872.679,32.0715,352.713,858.52
27,0,102.893,317.036,872.687,32.0724,352.727,858.515
28,0,102.896,317.057,872.697,32.0344,352.718,858.518
29,0,102.886,317.031,872.696,32.0339,352.733,858.523
30,0,102.891,317.049,872.701,32.0359,352.724,858.513
31,0,102.893,317.026,872.689,32.0426,352.709,858.522
32,0,102.906,317.028,872.716,32.043,352.668,858.491
33,0,102.925,317.013,872.677,32.0753,352.732,858.526
34,0,102.899,316.996,872.677,32.0717,352.714,858.498
35,0,102.928,317.008,872.683,32.1069,352.772,858.527
36,0,102.938,317.021,872.663,32.0936,352.762,858.525
37,0,102.929,317.026,872.656,32.0932,352.78,858.521
38,0,102.934,317.009,872.646,32.0895,352.783,858.5
39,0,102.944,317.038,872.655,32.0903,352.78,858.498
40,0,102.943,317.008,872.622,32.1109,352.822,858.494
41,0,102.938,317.04,872.643,32.1095,352.803,858.464
42,0,102.939,317.006,872.619,32.1076,352.809,858.452
43,0,102.936,317.022,872.653,32.149,352.89,858.481
44,0,102.917,316.994,872.622,32.1408,352.911,858.473
45,0,102.92,316.974,872.622,32.1587,352.884,858.455
46,0,102.921,316.987,872.638,32.1441,352.875,858.437
47,0,102.902,316.965,872.608,32.1548,352.905,858.431
48,0,102.906,316.985,872.629,32.1451,352.876,858.396
49,0,102.906,316.999,872.614,32.1608,352.914,858.426
50,0,102.911,316.996,872.604,32.1656,352.934,858.41
51,0,102.902,317.012,872.599,32.1433,352.99,858.427
52,0,102.905,317.04,872.606,32.1549,352.963,858.408
53,0,102.893,317.049,872.609,32.149,352.969,858.385
54,0,102.916,317.076,872.64,32.1542,352.966,858.37
55,0,102.895,317.087,872.618,32.1308,352.98,858.352
56,0,102.902,317.079,872.612,32.1552,353.005,858.354
57,0,102.89,317.103,872.636,32.1581,352.987,858.336
58,0,102.888,317.058,872.617,32.1531,352.971,858.336
59,0,102.896,317.043,872.627,32.1819,353.023,858.361
60,0,102.916,317.043,872.631,32.1647,353.005,858.368
61,0,102.895,317.006,872.619,32.1879,352.97,858.369
62,0,102.888,316.916,872.592,32.1952,352.985,858.397
63,0,102.913,316.944,872.63,32.1851,352.972,858.393
64,0,102.902,316.896,872.602,32.2149,353.002,858.431
65,0,102.901,316.902,872.634,32.2055,352.94,858.379
66,0,102.905,316.885,872.623,32.2135,352.961,858.404
67,0,102.904,316.903,872.633,32.2046,352.955,858.392
68,0,102.877,316.856,872.616,32.1876,352.965,858.402
69,0,102.882,316.889,872.628,32.1797,352.991,858.414
70,0,102.885,316.908,872.643,32.1711,352.939,858.37
71,0,102.863,316.885,872.608,32.1823,352.995,858.376
72,0,102.869,316.908,872.617,32.1549,352.968,858.35
73,0,102.881,316.962,872.636,32.1683,353.026,858.371
74,0,102.873,316.962,872.646,32.1632,353.029,858.381
75,0,102.857,316.962,872.647,32.166,353.017,858.355
76,0,102.862,316.941,872.646,32.146,352.967,858.345
77,0,102.86,316.94,872.647,32.1755,353.021,858.387
78,0,102.856,316.946,872.66,32.1753,353.016,858.36
79,0,102.844,316.896,872.648,32.1743,353.03,858.4
80,0,102.864,316.889,872.661,32.1649,352.984,858.365
81,0,102.857,316.886,872.63,32.16,352.963,858.374
82,0,102.841,316.875,872.649,32.1801,352.972,858.361
83,0,102.832,316.852,872.618,32.1822,352.986,858.348
84,0,102.84,316.894,872.644,32.1386,352.989,858.348
