Trajectories
100
,,1.1:11,,,1.1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,107.288,303.378,878.311,38.5585,340.714,865.072
2,0,107.279,303.363,878.303,38.5586,340.715,865.061
3,0,107.281,303.386,878.285,38.5774,340.731,865.074
4,0,107.281,303.361,878.282,38.5813,340.707,865.03
5,0,107.264,303.375,878.298,38.5763,340.755,865.054
6,0,107.244,303.339,878.283,38.5867,340.765,865.024
7,0,107.221,303.318,878.276,38.5892,340.793,865.012
8,0,107.215,303.35,878.293,38.594,340.753,864.972
9,0,107.206,303.297,878.246,38.5849,340.793,864.979
10,0,107.179,303.314,878.281,38.5735,340.796,864.941
11,0,107.149,303.307,878.247,38.5587,340.807,864.915
12,0,107.139,303.355,878.282,38.5556,340.842,864.95
13,0,107.13,303.33,878.267,38.5455,340.858,864.907
14,0,107.137,303.34,878.233,38.5695,340.863,864.903
15,0,107.124,303.332,878.196,38.5608,340.89,864.888
16,0,107.138,303.385,878.214,38.569,340.892,864.852
17,0,107.139,303.39,878.189,38.5873,340.937,864.851
18,0,107.136,303.353,878.172,38.5752,340.941,864.841
19,0,107.15,303.397,878.197,38.6128,340.92,864.826
20,0,107.141,303.329,878.177,38.5927,340.927,864.867
21,0,107.146,303.367,878.207,38.6056,340.921,864.871
22,0,107.153,303.33,878.195,38.609,340.91,864.873
23,0,107.138,303.323,878.195,38.6085,340.919,864.842
24,0,107.136,303.371,878.222,38.6144,340.93,864.861
25,0,107.139,303.352,878.191,38.6088,340.912,864.846
26,0,107.152,303.359,878.185,38.6129,340.914,864.83
27,0,107.152,303.387,878.211,38.602,340.932,864.834
28,0,107.158,303.4,878.168,38.6104,340.918,864.807
29,0,107.167,303.419,878.177,38.6181,340.927,864.762
30,0,107.165,303.404,878.16,38.6216,340.951,864.778
31,0,107.163,303.438,878.172,38.6227,340.966,864.779
32,0,107.168,303.386,878.148,38.6405,340.991,864.782
33,0,107.169,303.446,878.192,38.6406,340.963,864.786
34,0,107.163,303.409,878.208,38.6399,340.964,864.803
35,0,107.166,303.393,878.205,38.6481,340.934,864.791
36,0,107.152,303.386,878.236,38.6323,340.934,864.802
37,0,107.143,303.366,878.227,38.6379,340.935,864.811
38,0,107.152,303.37,878.263,38.6365,340.954,864.816
39,0,107.152,303.34,878.218,38.6338,340.97,864.81
40,0,107.139,303.355,878.239,38.6286,340.931,864.779
41,0,107.125,303.365,878.26,38.6236,340.934,864.789
42,0,107.114,303.347,878.25,38.6114,340.921,864.781
43,0,107.096,303.333,878.266,38.6096,340.971,864.822
44,0,107.102,303.319,878.28,38.5888,340.955,864.823
45,0,107.102,303.354,878.309,38.5885,340.941,864.806
46,0,107.11,303.316,878.302,38.5883,340.923,864.801
47,0,107.108,303.304,878.294,38.5998,340.94,864.831
48,0,107.112,303.3,878.319,38.6026,340.928,864.809
49,0,107.1,303.326,878.298,38.615,340.953,864.82
50,0,107.103,303.261,878.277,38.6264,340.915,864.768
51,0,107.106,303.258,878.255,38.6117,340.968,864.79
52,0,107.088,303.256,878.237,38.6046,340.994,864.787
53,0,107.093,303.276,878.269,38.6018,340.941,864.74
54,0,107.081,303.275,878.272,38.5929,340.978,864.77
55,0,107.073,303.266,878.274,38.5738,340.961,864.753
56,0,107.069,303.27,878.299,38.5753,340.965,864.75
57,0,107.083,303.272,878.312,38.5855,340.966,864.756
58,0,107.073,303.264,878.294,38.5966,340.971,864.749
59,0,107.076,303.266,878.253,38.5956,340.982,864.75
60,0,107.097,303.275,878.283,38.6035,340.991,864.741
61,0,107.098,303.29,878.281,38.6109,341.007,864.742
62,0,107.092,303.256,878.265,38.6321,341.025,864.742
63,0,107.091,303.252,878.248,38.6137,341.001,864.718
64,0,107.085,303.292,878.314,38.619,341.003,864.719
65,0,107.061,303.261,878.319,38.5898,341,864.698
66,0,107.033,303.259,878.32,38.582,340.997,864.72
67,0,107.002,303.182,878.319,38.5646,340.992,864.713
68,0,106.993,303.204,878.335,38.5443,341.014,864.715
69,0,106.952,303.192,878.344,38.5483,341.018,864.699
70,0,106.958,303.287,878.388,38.5202,341.042,864.686
71,0,106.927,303.172,878.318,38.5135,341.046,864.655
72,0,106.91,303.198,878.324,38.5096,341.078,864.677
73,0,106.939,303.233,878.368,38.5111,341.09,864.676
74,0,106.929,303.293,878.398,38.5298,341.099,864.694
75,0,106.953,303.281,878.4,38.5307,341.077,864.646
76,0,106.924,303.161,878.337,38.5253,341.09,864.652
77,0,106.919,303.183,878.344,38.5254,341.094,864.66
78,0,106.924,303.187,878.359,38.5406,341.082,864.636
79,0,106.968,303.198,878.329,38.5516,341.115,864.66
80,0,106.936,303.195,878.342,38.5484,341.118,864.677
81,0,106.908,303.171,878.331,38.5368,341.086,864.645
82,0,106.934,303.222,878.365,38.5506,341.102,864.64
83,0,106.906,303.181,878.319,38.5485,341.094,864.635
84,0,106.907,303.157,878.313,38.5435,341.095,864.615
85,0,106.894,303.182,878.31,38.5291,341.142,864.616
86,0,106.894,303.197,878.328,38.5223,341.126,864.607
87,0,106.879,303.181,878.335,38.5204,341.147,864.619
88,0,106.928,303.27,878.384,38.5265,341.171,864.628
89,0,106.924,303.28,878.396,38.5228,341.132,864.633
90,0,106.918,303.202,878.353,38.5494,341.116,864.641
91,0,106.916,303.171,878.33,38.5681,341.082,864.582
92,0,106.935,303.156,878.322,38.571,341.102,864.606
93,0,106.956,303.259,878.381,38.5801,341.093,864.597
94,0,106.922,303.143,878.34,38.5833,341.093,864.583
95,0,106.935,303.194,878.33,38.5713,341.118,864.594
96,0,106.898,303.158,878.33,38.5537,341.14,864.572
97,0,106.901,303.209,878.334,38.5336,341.125,864.562
98,0,106.878,303.148,878.336,38.5344,341.107,864.553
99,0,106.878,303.166,878.359,38.5343,341.158,864.576
100,0,106.856,303.136,878.352,38.5197,341.138,864.591
101,0,106.845,303.165,878.379,38.5261,341.13,864.57
102,0,106.85,303.138,878.37,38.515,341.172,864.608
103,0,106.844,303.195,878.385,38.5117,341.147,864.566
104,0,106.856,303.126,878.36,38.5142,341.156,864.567
105,0,106.887,303.264,878.42,38.5358,341.188,864.571
106,0,106.871,303.192,878.365,38.5365,341.14,864.534
107,0,106.87,303.192,878.373,38.5287,341.17,864.544
108,0,106.898,303.286,878.423,38.5376,341.158,864.53
109,0,106.874,303.256,878.415,38.511,341.184,864.557
110,0,106.865,303.267,878.439,38.4963,341.188,864.55
111,0,106.846,303.302,878.419,38.5025,341.187,864.538
112,0,106.846,303.301,878.424,38.4992,341.202,864.527
113,0,106.834,303.279,878.42,38.4615,341.212,864.519
114,0,106.833,303.324,878.424,38.4924,341.227,864.51
115,0,106.799,303.233,878.362,38.4702,341.219,864.508
116,0,106.815,303.302,878.426,38.4651,341.218,864.507
117,0,106.829,303.284,878.429,38.4933,341.22,864.523
118,0,106.837,303.282,878.426,38.4966,341.233,864.521
119,0,106.837,303.295,878.444,38.4919,341.229,864.524
120,0,106.836,303.284,878.426,38.5052,341.199,864.502
121,0,106.832,303.252,878.435,38.5069,341.207,864.499
122,0,106.83,303.281,878.444,38.5063,341.224,864.518
123,0,106.808,303.258,878.422,38.4917,341.208,864.498
124,0,106.81,303.261,878.443,38.4572,341.203,864.511
125,0,106.781,303.271,878.436,38.4489,341.213,864.513
126,0,106.767,303.163,878.37,38.4384,341.236,864.523
127,0,106.776,303.268,878.431,38.4349,341.222,864.5
128,0,106.728,303.145,878.379,38.4295,341.228,864.479
129,0,106.76,303.267,878.425,38.427,341.238,864.488
130,0,106.756,303.22,878.408,38.4329,341.248,864.497
131,0,106.784,303.279,878.421,38.4476,341.269,864.488
132,0,106.77,303.197,878.364,38.467,341.262,864.481
133,0,106.789,303.201,878.373,38.4891,341.227,864.459
134,0,106.777,303.186,878.39,38.4752,341.219,864.479
135,0,106.795,303.195,878.442,38.4825,341.224,864.493
136,0,106.754,303.116,878.402,38.457,341.203,864.515
137,0,106.746,303.078,878.388,38.4526,341.178,864.525
138,0,106.756,303.11,878.422,38.447,341.176,864.517
139,0,106.758,303.096,878.413,38.4404,341.16,864.511
140,0,106.764,303.171,878.456,38.438,341.215,864.519
141,0,106.737,303.102,878.394,38.4343,341.231,864.5
142,0,106.769,303.243,878.431,38.448,341.246,864.497
143,0,106.778,303.261,878.431,38.4478,341.256,864.48
144,0,106.758,303.193,878.363,38.4364,341.258,864.445
145,0,106.769,303.292,878.424,38.4132,341.327,864.501
146,0,106.748,303.202,878.351,38.4004,341.314,864.483
147,0,106.718,303.221,878.387,38.4137,341.297,864.464
148,0,106.742,303.244,878.419,38.3843,341.29,864.454
149,0,106.735,303.252,878.418,38.3775,341.339,864.489
150,0,106.711,303.272,878.409,38.3665,341.328,864.471
151,0,106.698,303.183,878.347,38.3639,341.387,864.487
152,0,106.696,303.194,878.373,38.3579,341.363,864.469
153,0,106.684,303.211,878.376,38.3603,341.353,864.448
154,0,106.699,303.177,878.369,38.3563,341.325,864.447
155,0,106.715,303.26,878.44,38.3776,341.307,864.458
156,0,106.701,303.227,878.409,38.3671,341.328,864.462
157,0,106.695,303.184,878.385,38.3674,341.351,864.504
158,0,106.705,303.185,878.383,38.3791,341.349,864.497
159,0,106.694,303.174,878.376,38.3785,341.338,864.483
160,0,106.706,303.155,878.383,38.3798,341.303,864.453
161,0,106.711,303.148,878.377,38.3848,341.322,864.49
162,0,106.708,303.139,878.374,38.3788,341.348,864.507
163,0,106.704,303.137,878.363,38.3801,341.316,864.471
164,0,106.705,303.137,878.374,38.375,341.327,864.49
165,0,106.73,303.251,878.439,38.3727,341.299,864.469
166,0,106.724,303.17,878.387,38.3859,341.339,864.479
167,0,106.71,303.203,878.375,38.3698,341.312,864.447
168,0,106.716,303.248,878.408,38.3787,341.322,864.462
169,0,106.708,303.188,878.369,38.3803,341.296,864.463
170,0,106.717,303.198,878.378,38.3898,341.301,864.447
171,0,106.725,303.176,878.387,38.4164,341.269,864.433
172,0,106.75,303.265,878.436,38.4346,341.245,864.45
173,0,106.735,303.114,878.389,38.4367,341.246,864.445
174,0,106.741,303.195,878.408,38.4388,341.221,864.425
175,0,106.743,303.128,878.378,38.4393,341.268,864.459
176,0,106.764,303.238,878.425,38.4494,341.271,864.438
177,0,106.743,303.19,878.389,38.4218,341.338,864.469
178,0,106.738,303.151,878.369,38.3999,341.317,864.458
179,0,106.719,303.213,878.382,38.3778,341.347,864.461
180,0,106.725,303.274,878.447,38.3729,341.315,864.437
181,0,106.7,303.204,878.399,38.3702,341.332,864.466
182,0,106.715,303.241,878.449,38.3608,341.315,864.468
183,0,106.682,303.202,878.457,38.3742,341.265,864.46
184,0,106.671,303.132,878.448,38.3593,341.263,864.48
185,0,106.67,303.101,878.427,38.3883,341.237,864.456
186,0,106.683,303.088,878.427,38.4137,341.26,864.456
187,0,106.702,303.085,878.417,38.4161,341.253,864.455
188,0,106.701,303.101,878.432,38.4327,341.25,864.441
189,0,106.725,303.208,878.464,38.4456,341.223,864.38
190,0,106.715,303.104,878.411,38.4098,341.321,864.491
191,0,106.744,303.202,878.471,38.4313,341.286,864.435
192,0,106.75,303.213,878.461,38.4056,341.308,864.451
193,0,106.749,303.192,878.445,38.4208,341.314,864.454
194,0,106.722,303.189,878.44,38.4081,341.31,864.452
195,0,106.707,303.216,878.465,38.3798,341.318,864.457
196,0,106.698,303.145,878.425,38.3939,341.305,864.44
197,0,106.704,303.229,878.465,38.38,341.33,864.459
